,reserve,num_bids,num_com,milage,private_seller,num_highlights,num_equipment,num_modifications,num_known_flaws,num_service_history,num_other_items,num_owner_history,num_seller_notes,num_videos,sold,year,make_model,title_status,end_bid,num_views,num_photos,make_BMW,model_M3,ecolor_beige,ecolor_black,ecolor_blue,ecolor_brown,ecolor_gray,ecolor_green,ecolor_orange,ecolor_purple,ecolor_red,ecolor_silver,ecolor_white,ecolor_yellow,icolor_beige,icolor_black,icolor_brown,icolor_gray,icolor_green,icolor_orange,icolor_red,icolor_silver,num_bidders,sentiment_score
180,1,28,32,87600,0,5,14,0,3,7,3,1,0,4.0,0,2006,BMW M3,1,18750,6735,67,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0.4819277108433735
181,1,35,34,58500,1,6,14,9,4,5,2,1,2,1.0,1,2015,BMW M3,1,41999,15491,105,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0.3401842664776754
182,0,31,90,228000,1,6,6,14,14,14,6,1,0,5.0,1,1997,BMW M3,0,12500,14544,315,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11,0.8186169334873742
183,1,43,50,90700,1,6,12,4,9,5,5,1,0,3.0,1,2002,BMW M3,1,27399,8213,126,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,18,0.4793085385018334
184,1,49,27,54300,1,5,24,9,6,9,4,1,0,3.0,1,2016,BMW M3,1,45500,10555,177,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,16,0.4326396495071193
185,1,27,43,93800,1,4,11,6,13,8,4,1,0,5.0,1,2004,BMW M3,1,19000,14452,169,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,14,0.5869632375656472
186,1,25,32,36200,1,5,13,5,2,8,4,1,0,3.0,1,2018,BMW M3,1,55666,11829,139,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0.43558850787766445
187,1,29,19,67500,1,5,11,1,9,4,3,1,2,4.0,0,2004,BMW M3,1,22500,5362,116,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0.8032128514056225
188,1,68,30,47600,1,6,10,13,5,4,6,1,0,3.0,1,2004,BMW M3,1,42000,7434,88,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,13,0.547645125958379
189,1,7,14,87000,1,5,8,7,9,9,5,1,0,2.0,0,2006,BMW M3,1,22000,11567,84,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.8032128514056225
190,1,18,51,41000,0,5,8,0,3,0,4,1,0,2.0,0,1995,BMW M3,1,37000,11667,141,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,0.528069725711356
191,1,50,25,111800,1,5,11,0,7,3,5,1,0,4.0,1,2001,BMW M3,1,22500,5941,62,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,16,0.4326396495071193
192,1,30,25,113700,1,5,11,0,12,0,10,1,0,6.0,0,1998,BMW M3,1,17350,10593,150,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,17,0.8313253012048193
193,1,36,58,68300,1,5,12,1,7,3,2,1,0,3.0,1,2002,BMW M3,1,25000,7198,95,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0.45961624274877283
194,1,24,26,58400,1,5,8,0,11,2,3,1,0,1.0,0,2004,BMW M3,1,17250,10876,128,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0.00669344042838016
195,1,57,30,168100,1,6,13,18,6,19,4,1,0,4.0,1,2008,BMW M3,1,25000,7775,99,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,17,0.4869477911646587
196,1,46,11,48200,1,5,14,1,8,0,5,1,0,4.0,1,2015,BMW M3,1,42650,8887,72,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0.8032128514056225
197,1,49,28,161500,1,5,10,14,6,3,1,1,0,1.0,1,2003,BMW M3,1,22750,12515,74,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0.36144578313253006
198,1,44,36,22200,1,5,10,4,6,5,3,1,0,7.0,1,2011,BMW M3,1,42250,5869,204,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,17,0.6626506024096386
199,0,61,63,136400,1,5,11,2,11,0,2,1,0,3.0,1,2009,BMW M3,1,16500,12083,113,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0.3490886623416744
200,1,27,11,63600,1,5,10,3,10,0,6,1,0,1.0,1,2004,BMW M3,1,19750,4807,106,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10,0.7469879518072289
201,0,36,47,246300,1,4,12,1,8,3,3,1,0,1.0,1,1997,BMW M3,1,7000,14232,100,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13,0.507292327203551
202,1,42,24,111000,1,5,10,3,8,9,8,1,0,5.0,1,1999,BMW M3,1,12300,7816,136,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0.547645125958379
203,1,15,25,42300,1,5,17,0,3,4,2,1,2,1.0,1,2015,BMW M3,1,50000,5761,156,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0.27929901423877324
204,1,57,43,163800,1,6,14,3,9,0,3,1,0,1.0,1,2003,BMW M3,1,23500,11588,65,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,19,0.2154070828769624
205,1,37,41,24200,1,6,13,7,6,3,4,1,0,3.0,1,2013,BMW M3,1,45250,9945,126,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,14,0.376991838321026
206,1,38,22,75400,1,4,12,1,9,3,5,1,0,3.0,0,2003,BMW M3,1,16775,7585,84,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,20,0.40963855421686746
207,1,17,6,167900,1,5,15,8,6,9,4,1,2,9.0,0,1999,BMW M3,1,11950,5358,175,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0.07228915662650601
208,1,30,19,98300,0,6,10,15,6,1,3,1,0,1.0,1,2005,BMW M3,1,23000,11005,262,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,15,0.5783132530120483
209,1,24,44,71300,1,6,11,3,7,4,6,1,0,2.0,0,2008,BMW M3,1,26500,7381,71,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0.2953750485814224
210,1,25,32,8100,1,4,15,0,2,4,3,1,0,2.0,1,2022,BMW M3,1,79401,13191,84,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0.5329008341056534
211,0,47,132,46700,1,6,9,6,11,6,1,1,0,5.0,1,2012,BMW M3,1,34750,11143,117,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0.303694115304192
212,1,41,79,19900,1,6,10,2,5,5,2,1,0,2.0,0,2003,BMW M3,1,44500,12486,92,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0.43558850787766445
213,1,43,53,133800,0,6,9,6,12,0,3,1,2,1.0,0,1994,BMW M3,1,19100,13494,131,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,20,0.47289156626506024
214,1,26,50,7100,0,5,11,0,4,3,2,1,0,4.0,0,2010,BMW M3,1,54300,11022,198,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,16,0.45180722891566266
215,1,9,59,58000,1,6,12,2,11,0,1,1,0,1.0,1,2013,BMW M3,1,35333,14969,88,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0.24096385542168675
216,1,12,38,129600,1,6,9,16,8,9,6,1,0,2.0,0,1997,BMW M3,1,17200,11643,265,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0.49169651579290136
217,1,15,48,128800,0,4,12,4,7,11,3,1,0,2.0,1,2006,BMW M3,1,15750,14244,172,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7,0.3194172036985149
218,1,57,80,67100,1,7,11,3,4,3,2,1,0,6.0,1,2013,BMW M3,1,42806,16563,122,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0.22778614457831325
219,1,10,41,187800,1,5,10,22,11,11,6,1,0,3.0,0,2001,BMW M3,1,12600,10113,109,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0.24096385542168675
220,0,27,30,105200,1,5,12,10,8,6,2,1,2,4.0,1,2012,BMW M3,1,20500,10120,78,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0.43558850787766445
221,1,46,33,69100,1,6,11,4,5,1,4,1,0,1.0,1,2008,BMW M3,1,33502,10304,62,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,15,0.4154549231408392
222,1,16,20,139600,1,6,10,0,14,4,2,1,0,3.0,1,2006,BMW M3,1,20100,12463,97,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0.6874557051736357
223,1,11,21,78600,1,6,12,7,7,6,4,1,0,1.0,1,2001,BMW M3,1,20250,5704,77,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,0.428380187416332
224,1,24,88,66000,0,5,13,1,7,0,3,1,0,2.0,0,1996,BMW M3,1,38250,35547,230,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,9,0.4850982878883957
225,1,18,31,44900,0,6,11,5,5,1,2,1,0,1.0,0,2006,BMW M3,1,23825,6234,61,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0.544578313253012
226,1,24,19,104500,1,6,12,3,14,5,4,1,0,6.0,1,2004,BMW M3,1,21250,5991,116,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0.8594377510040161
227,0,53,54,18300,1,6,11,8,6,3,3,1,0,2.0,1,2009,BMW M3,1,37200,10865,67,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0.6112253893623274
228,0,53,54,18300,1,6,11,8,6,3,3,1,0,2.0,1,2009,BMW M3,1,37200,10868,67,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0.6112253893623274
229,1,37,71,61400,0,6,10,11,5,5,4,1,1,1.0,1,1998,BMW M3,1,39000,10421,144,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,0.5873493975903614
230,1,39,49,23900,1,6,9,10,9,2,13,1,2,10.0,0,2009,BMW M3,1,42000,10766,134,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0.4198612632347572
231,1,40,10,65200,1,5,10,8,7,4,3,1,0,4.0,0,2008,BMW M3,1,24250,6028,116,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0.33467202141900937
232,0,25,19,74900,1,6,11,4,4,21,5,1,2,3.0,1,2016,BMW M3,1,43250,13289,141,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0.5882352941176471
233,1,7,31,130000,1,6,10,7,11,11,4,1,2,3.0,0,2010,BMW M3,1,22800,10870,221,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0.9309967141292443
234,1,35,23,42600,1,5,10,1,4,2,5,1,0,2.0,1,2004,BMW M3,1,25000,9000,85,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0.536144578313253
235,1,10,53,20100,0,5,9,1,6,1,4,1,0,1.0,0,1997,BMW M3,1,30000,14680,145,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0.26013143483023
236,1,43,58,180500,1,5,4,19,6,3,1,1,0,2.0,0,1995,BMW M3,1,10100,17007,62,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,22,0.467234792829856
237,1,16,20,108800,1,5,12,14,7,3,1,1,0,6.0,0,2008,BMW M3,1,18150,7628,94,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0.9036144578313253
238,1,12,31,58400,1,5,9,15,6,3,7,1,2,2.0,0,2012,BMW M3,1,32250,8186,113,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0.7228915662650602
239,1,10,16,30900,1,5,12,0,10,2,4,1,0,4.0,1,2001,BMW M3,1,27750,7386,179,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0.7469879518072289
240,1,18,73,92800,1,6,13,4,7,5,3,1,0,2.0,1,2008,BMW M3,1,26000,11033,278,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11,0.7850757870190439
241,1,36,45,79200,1,6,14,5,14,4,6,1,2,4.0,1,1994,BMW M3,1,35250,13327,181,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0.5600781504395962
242,0,51,41,116900,1,5,12,15,14,0,7,1,3,3.0,1,2012,BMW M3,1,22750,8420,143,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0.45783132530120485
243,1,9,33,99500,1,6,10,33,16,5,2,1,2,6.0,1,1998,BMW M3,1,18888,9465,125,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.36144578313253006
244,1,24,29,46900,0,5,13,5,6,4,3,1,0,3.0,0,2016,BMW M3,1,46000,12768,127,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0.6795180722891567
245,1,8,25,86800,1,5,9,5,4,6,4,1,0,7.0,1,2006,BMW M3,1,21250,6177,186,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,0.41666666666666663
246,1,9,23,97800,1,5,13,29,6,3,3,1,3,1.0,1,2011,BMW M3,1,22250,10156,84,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0.4417670682730923
247,1,51,48,67300,1,5,14,9,6,2,2,1,2,1.0,1,2013,BMW M3,1,32250,8102,113,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0.3042168674698795
248,0,33,34,184200,1,7,12,6,14,10,5,1,0,6.0,1,2002,BMW M3,1,12100,13681,232,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0.644316396018858
249,1,15,7,79100,1,6,9,8,8,3,4,1,0,3.0,1,2002,BMW M3,1,21500,6048,121,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0.5220883534136547
250,1,4,15,122200,1,6,11,19,7,9,4,1,0,4.0,1,1999,BMW M3,1,20000,9673,176,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.783132530120482
251,1,29,50,19300,1,6,11,14,6,6,6,1,0,2.0,1,2015,BMW M3,1,65800,15682,114,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0.6051478641840088
252,1,23,47,73200,1,6,10,23,4,1,7,1,2,3.0,0,2004,BMW M3,1,25500,9229,146,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4850982878883957
253,0,35,30,141000,1,4,11,1,9,2,3,1,0,1.0,1,1998,BMW M3,1,15357,10584,173,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12,0.7599629286376275
254,1,12,55,16100,1,6,9,0,8,1,4,1,0,1.0,0,2013,BMW M3,1,64100,15477,127,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0.49014238773274915
255,1,37,31,63400,1,4,14,4,5,2,3,1,2,1.0,1,2010,BMW M3,1,29500,8535,86,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0.24096385542168675
256,1,33,53,72600,1,6,9,5,13,3,1,1,0,3.0,0,2008,BMW M3,1,17250,6922,97,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,18,0.025217147660409056
257,0,9,50,78200,1,6,13,4,10,6,5,1,0,7.0,1,2004,BMW M3,1,28500,9976,245,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0.5144903940084663
258,0,12,14,107300,1,5,15,0,7,8,7,1,0,2.0,1,2008,BMW M3,1,26500,8287,77,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0.5004633920296571
259,1,16,14,24700,1,5,16,0,2,2,4,1,0,2.0,0,2018,BMW M3,1,55000,10017,69,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8,0.5220883534136547
260,1,10,97,700,1,5,20,0,0,0,2,1,2,0.0,0,2022,BMW M3,1,77777,15711,62,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0.41666666666666663
261,0,30,36,101700,1,7,12,5,8,2,3,1,0,1.0,1,2011,BMW M3,1,26750,12196,101,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11,0.5004633920296571
262,1,19,22,130600,1,6,10,4,8,8,8,1,0,2.0,1,2008,BMW M3,1,21250,11159,150,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11,0.6626506024096386
263,0,20,42,55600,1,6,10,14,3,2,4,1,2,9.0,1,2006,BMW M3,1,43000,14033,138,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0.3463855421686747
264,1,38,29,42400,1,5,8,15,3,7,7,1,2,4.0,1,2011,BMW M3,1,42500,10651,156,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,15,0.7469879518072289
265,1,40,75,113100,1,6,11,7,5,4,6,1,0,4.0,1,2006,BMW M3,1,35750,28220,146,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0.7850757870190439
266,1,36,47,60400,1,7,10,5,6,4,3,1,0,5.0,1,2011,BMW M3,1,41000,13233,198,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0.47289156626506024
267,1,40,93,102000,0,6,10,9,7,5,2,1,0,5.0,1,2008,BMW M3,1,26500,12148,55,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,13,0.4600219058050383
268,1,22,35,80900,1,7,14,5,5,5,6,1,0,3.0,1,2012,BMW M3,1,33750,13645,81,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0.7132530120481928
269,1,11,18,157600,0,6,10,7,10,2,2,1,2,1.0,1,2003,BMW M3,1,17000,11633,69,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0.29718875502008024
270,1,27,58,124400,0,6,7,12,5,8,9,1,2,3.0,1,1997,BMW M3,1,25000,18632,107,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,12,0.7301204819277108
271,1,32,117,67800,1,5,7,35,10,3,4,1,2,3.0,1,2001,BMW M3,1,29000,15553,82,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0.4080472834735167
